JamoSZN
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
116  | Derrick Henry          | RB    | 26.36 | 65   |  0.41 | Kept for $65         | Derrick Yeti SZN                
117  | David Njoku            | BN    |  2.70 | 8    |  0.41 | Drafted for $8       | Derrick Yeti SZN                
118  | Courtland Sutton       | W/R/T | 10.50 | 28   |  0.40 | Kept for $28         | Burks and Caicos                
119  | Travis Kelce           | TE    | 32.50 | 85   |  0.39 | Drafted for $85      | Nags                            
120  | T.J. Hockenson         | TE    |  5.90 | 17   |  0.38 | Drafted for $17      | Pop Hock & Drop It              
121  | Davante Adams          | W/R/T | 29.60 | 80   |  0.38 | Drafted for $80      | Pop Hock & Drop It              
122  | Brian Robinson Jr.     | RB    |  5.70 | 17   |  0.37 | Drafted for $17      | Ceedeez Nutz                    
123  | Antonio Gibson         | W/R/T | 11.80 | 34   |  0.37 | Kept for $34         | Matt’s “Bye Week”               
124  | Ezekiel Elliott        | RB    | 17.20 | 49   |  0.36 | Drafted for $49      | Mangina’s Revenge               
125  | Michael Pittman Jr.    | WR    | 10.50 | 31   |  0.36 | Kept for $31         | Nags                            
126  | Cordarrelle Patterson  | RB    | 10.90 | 33   |  0.35 | Drafted for $33      | Matt’s “Bye Week”               
127  | Justin Jefferson       | WR    |  4.80 | 16   |  0.34 | Kept for $16         | G                               
128  | Tee Higgins            | WR    | 19.30 | 59   |  0.34 | Drafted for $59      | Aiyuken                         
129  | Eno Benjamin           | BN    |  0.00 | 2    |  0.33 | Waivers; $2 bid      | Cooper Troopers                 
130  | Michael Carter         | BN    |  2.20 | 9    |  0.32 | Drafted for $9       | Aiyuken                         
131  | Aaron Jones            | RB    | 11.00 | 40   |  0.29 | Kept for $40         | JamoSZN                         
132  | Kirk Cousins           | QB    |  2.20 | 10   |  0.29 | Drafted for $10      | Cooper Troopers                 
133  | Miles Sanders          | RB    |  5.30 | 21   |  0.29 | Traded; $21 salar... | G                               
134  | Cincinnati             | DEF   |  1.00 | 6    |  0.29 | Waivers; $6 bid      | Derrick Yeti SZN                
135  | Mark Andrews           | TE    |  9.30 | 36   |  0.28 | Kept for $36         | G                               
136  | A.J. Brown             | WR    |  6.50 | 27   |  0.27 | Kept for $27         | Pop Hock & Drop It              
137  | CeeDee Lamb            | WR    |  7.00 | 30   |  0.26 | Kept for $30         | Ceedeez Nutz                    
138  | Nick Chubb             | RB    |  8.20 | 35   |  0.26 | Kept for $35         | Nags                            
139  | Amon-Ra St. Brown      | WR    | 11.50 | 48   |  0.26 | Drafted for $48      | Burks and Caicos                
140  | Najee Harris           | W/R/T | 25.60 | 104  |  0.25 | Drafted for $104     | Forgot About Dre                
141  | Jeff Wilson Jr.        | BN    |  0.00 | 3    |  0.25 | Drafted for $3       | Forgot About Dre                
142  | D'Andre Swift          | BN    | 10.70 | 48   |  0.24 | Kept for $48         | Aiyuken                         
143  | Alvin Kamara           | RB    | 10.90 | 49   |  0.24 | Kept for $49         | Pop Hock & Drop It              
144  | Drake London           | BN    |  6.70 | 32   |  0.23 | Drafted for $32      | JamoSZN                         
145  | AJ Dillon              | BN    |  2.80 | 16   |  0.22 | Kept for $16         | G                               
146  | Jonathan Taylor        | RB    | 14.90 | 71   |  0.22 | Kept for $71         | JamoSZN                         
147  | Brandin Cooks          | WR    |  8.50 | 43   |  0.22 | Drafted for $43      | Nags                            
148  | Terry McLaurin         | WR    |  7.60 | 39   |  0.22 | Drafted for $39      | G                               
149  | Christian McCaffrey    | RB    | 14.10 | 70   |  0.21 | Kept for $70         | Derrick Yeti SZN                
150  | Leonard Fournette      | BN    |  0.00 | 5    |  0.17 | Kept for $5          | Aiyuken                         
151  | Travis Etienne Jr.     | BN    |  0.00 | 5    |  0.17 | Kept for $5          | JamoSZN                         
152  | Darren Waller          | BN    |  0.00 | 5    |  0.17 | Waivers; $5 bid      | Mangina’s Revenge               
153  | Adam Thielen           | W/R/T |  3.50 | 26   |  0.17 | Waivers; $26 bid     | G                               
154  | Khalil Herbert         | BN    |  0.00 | 5    |  0.17 | Drafted for $5       | Matt’s “Bye Week”               
155  | Kyle Pitts             | TE    |  5.80 | 45   |  0.15 | Kept for $45         | Mangina’s Revenge               
156  | J.K. Dobbins           | BN    |  0.00 | 6    |  0.14 | Waivers; $6 bid      | Forgot About Dre                
157  | Raheem Mostert         | BN    |  0.00 | 6    |  0.14 | Drafted for $6       | Mangina’s Revenge               
158  | Elijah Mitchell        | BN    |  5.90 | 48   |  0.14 | Drafted for $48      | Cooper Troopers                 
159  | Stefon Diggs           | WR    | 12.80 | 100  |  0.14 | Drafted for $100     | JamoSZN                         
160  | Dalton Schultz         | TE    |  3.70 | 34   |  0.13 | Drafted for $34      | Matt’s “Bye Week”               
161  | Alexander Mattison     | BN    |  1.30 | 17   |  0.13 | Drafted for $17      | Nags                            
162  | Diontae Johnson        | WR    |  4.20 | 40   |  0.13 | Drafted for $40      | Matt’s “Bye Week”               
163  | Marquise Brown         | BN    |  0.00 | 7    |  0.12 | Kept for $7          | Derrick Yeti SZN                
164  | Darrell Henderson Jr.  | BN    |  0.90 | 15   |  0.12 | Traded; $15 salar... | Derrick Yeti SZN                
165  | Joe Mixon              | RB    |  7.70 | 83   |  0.10 | Kept for $83         | Ceedeez Nutz                    
166  | Dameon Pierce          | RB    |  2.70 | 42   |  0.09 | Drafted for $42      | Pop Hock & Drop It              
167  | Tyler Lockett          | BN    |  0.00 | 11   |  0.08 | Drafted for $11      | Forgot About Dre                
168  | Kadarius Toney         | WR    |  0.00 | 11   |  0.08 | Drafted for $11      | Nags                            
169  | Rachaad White          | BN    |  0.00 | 11   |  0.08 | Drafted for $11      | Burks and Caicos                
170  | DJ Moore               | WR    |  3.90 | 58   |  0.08 | Drafted for $58      | Pop Hock & Drop It              
171  | Christian Kirk         | BN    |  0.00 | 13   |  0.07 | Kept for $13         | Ceedeez Nutz                    
172  | Dalvin Cook            | RB    |  7.20 | 116  |  0.07 | Kept for $116        | Nags                            
173  | James Robinson         | W/R/T |  1.00 | 29   |  0.07 | Waivers; $29 bid     | Ceedeez Nutz                    
174  | Mike Williams          | W/R/T |  2.00 | 48   |  0.06 | Drafted for $48      | Mangina’s Revenge               
175  | Rondale Moore          | WR    | -0.60 | 6    |  0.06 | Drafted for $6       | Derrick Yeti SZN                
176  | Saquon Barkley         | RB    |  4.50 | 105  |  0.05 | Drafted for $105     | Burks and Caicos                
177  | Nyheim Hines           | BN    | -0.80 | 3    |  0.05 | Waivers; $3 bid      | Matt’s “Bye Week”               
178  | Breece Hall            | BN    |  0.00 | 20   |  0.05 | Waivers; $20 bid     | Cooper Troopers                 
179  | Kenneth Walker III     | BN    |  0.00 | 20   |  0.05 | Drafted for $20      | Pop Hock & Drop It              
180  | Ja'Marr Chase          | BN    |  0.00 | 24   |  0.04 | Kept for $24         | Burks and Caicos                
181  | Dallas Goedert         | BN    |  0.00 | 25   |  0.04 | Drafted for $25      | Forgot About Dre                
182  | Chris Godwin           | BN    |  0.00 | 25   |  0.04 | Drafted for $25      | Matt’s “Bye Week”               
183  | Javonte Williams       | BN    |  0.00 | 30   |  0.03 | Kept for $30         | Pop Hock & Drop It              
184  | Kyler Murray           | BN    |  0.00 | 33   |  0.03 | Kept for $33         | Matt’s “Bye Week”               
185  | Cooper Kupp            | BN    |  0.00 | 37   |  0.03 | Kept for $37         | Cooper Troopers                 
186  | Jaylen Waddle          | BN    |  0.00 | 38   |  0.03 | Drafted for $38      | Aiyuken                         
187  | Jerry Jeudy            | BN    |  0.00 | 40   |  0.02 | Traded; $40 salar... | Derrick Yeti SZN                
188  | JuJu Smith-Schuster    | BN    |  0.00 | 40   |  0.02 | Drafted for $40      | Derrick Yeti SZN                
189  | Mike Evans             | BN    |  0.00 | 53   |  0.02 | Kept for $53         | Cooper Troopers                 
190  | DK Metcalf             | BN    |  0.00 | 59   |  0.02 | Drafted for $59      | Cooper Troopers                 
191  | Tyreek Hill            | BN    |  0.00 | 77   |  0.01 | Drafted for $77      | Forgot About Dre                
192  | Minnesota              | BN    | -4.00 | 0    | -3.00 | Waivers; free agent  | Pop Hock & Drop It              
