JamoSZN
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
-----------------------|-------|-------|-------|---------------------
Jimmy Garoppolo        | QB    | 33.42 | 34.42 | Waivers; $0 bid     
Michael Pittman Jr.    | WR    | 10.50 |  0.36 | Kept for $31        
Brandin Cooks          | WR    |  8.50 |  0.22 | Drafted for $43     
Kadarius Toney         | WR    |  0.00 |  0.08 | Drafted for $11     
Dalvin Cook            | RB    |  7.20 |  0.07 | Kept for $116       
Nick Chubb             | RB    |  8.20 |  0.26 | Kept for $35        
Travis Kelce           | TE    | 32.50 |  0.39 | Drafted for $85     
Devin Duvernay         | W/R/T |  1.20 |  1.10 | Drafted for $1      
Gus Edwards            | BN    |  0.00 |  1.00 | Waivers; $0 bid     
Zay Jones              | BN    |  0.00 |  0.50 | Drafted for $1      
Alexander Mattison     | BN    |  1.30 |  0.13 | Drafted for $17     
Deshaun Watson         | BN    |  0.00 |  1.00 | Waivers; free agent 
Rashod Bateman         | BN    |  0.00 |  1.00 | Waivers; free agent 
Matt Gay               | K     | 10.00 | 11.00 | Waivers; free agent 
Baltimore              | DEF   | 17.00 |  9.00 | Drafted for $1      
Kansas City            | BN    |  9.00 | 10.00 | Waivers; free agent 


Matt’s “Bye Week”
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
-----------------------|-------|-------|-------|---------------------
Russell Wilson         | QB    | 10.68 | 11.68 | Waivers; free agent 
Curtis Samuel          | WR    |  9.30 |  0.54 | Waivers; $18 bid    
Diontae Johnson        | WR    |  4.20 |  0.13 | Drafted for $40     
Allen Robinson II      | WR    | 12.70 |  1.71 | Waivers; $7 bid     
Devin Singletary       | RB    | 16.70 |  0.68 | Drafted for $25     
Cordarrelle Patterson  | RB    | 10.90 |  0.35 | Drafted for $33     
Dalton Schultz         | TE    |  3.70 |  0.13 | Drafted for $34     
Antonio Gibson         | W/R/T | 11.80 |  0.37 | Kept for $34        
Kyler Murray           | BN    |  0.00 |  0.03 | Kept for $33        
Khalil Herbert         | BN    |  0.00 |  0.17 | Drafted for $5      
Chris Godwin           | BN    |  0.00 |  0.04 | Drafted for $25     
Tyler Allgeier         | BN    |  6.90 |  7.90 | Traded; $0 salary...
Nyheim Hines           | BN    | -0.80 |  0.05 | Waivers; $3 bid     
Graham Gano            | K     |  0.00 |  0.50 | Waivers; $1 bid     
New England            | DEF   | 17.00 |  4.50 | Waivers; $3 bid     
Tennessee              | BN    |  4.00 |  2.50 | Waivers; $1 bid     


Cooper Troopers
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
-----------------------|-------|-------|-------|---------------------
Kirk Cousins           | QB    |  2.20 |  0.29 | Drafted for $10     
Tyler Boyd             | WR    |  5.20 |  2.07 | Drafted for $2      
Van Jefferson          | WR    |  5.60 |  6.60 | Waivers; free agent 
DJ Chark Jr.           | WR    |  0.00 |  1.00 | Waivers; free agent 
Josh Jacobs            | RB    | 17.50 |  0.64 | Drafted for $28     
James Conner           | RB    | 12.40 |  0.61 | Kept for $21        
Tre' McKitty           | TE    |  0.00 |  1.00 | Waivers; free agent 
Michael Gallup         | W/R/T |  5.60 |  6.60 | Waivers; free agent 
Elijah Mitchell        | BN    |  5.90 |  0.14 | Drafted for $48     
Eno Benjamin           | BN    |  0.00 |  0.33 | Waivers; $2 bid     
DK Metcalf             | BN    |  0.00 |  0.02 | Drafted for $59     
Cooper Kupp            | BN    |  0.00 |  0.03 | Kept for $37        
Mike Evans             | BN    |  0.00 |  0.02 | Kept for $53        
Breece Hall            | BN    |  0.00 |  0.05 | Waivers; $20 bid    
Younghoe Koo           | K     | 12.00 |  4.33 | Waivers; $2 bid     
Buffalo                | DEF   |  5.00 |  1.20 | Waivers; $4 bid     


Derrick Yeti SZN
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
-----------------------|-------|-------|-------|---------------------
Justin Fields          | QB    | 25.62 |  3.80 | Waivers; $6 bid     
Rondale Moore          | WR    | -0.60 |  0.06 | Drafted for $6      
Donovan Peoples-Jones  | WR    | 14.60 | 15.60 | Waivers; free agent 
Jakobi Meyers          | WR    |  7.20 |  0.68 | Traded; $11 salar...
Derrick Henry          | RB    | 26.36 |  0.41 | Kept for $65        
Christian McCaffrey    | RB    | 14.10 |  0.21 | Kept for $70        
Tyler Higbee           | TE    |  6.50 |  0.94 | Drafted for $7      
Chase Claypool         | W/R/T |  2.10 |  3.10 | Waivers; free agent 
Jarvis Landry          | BN    | 10.80 | 11.80 | Waivers; free agent 
JuJu Smith-Schuster    | BN    |  0.00 |  0.02 | Drafted for $40     
David Njoku            | BN    |  2.70 |  0.41 | Drafted for $8      
Marquise Brown         | BN    |  0.00 |  0.12 | Kept for $7         
Jerry Jeudy            | BN    |  0.00 |  0.02 | Traded; $40 salar...
Darrell Henderson Jr.  | BN    |  0.90 |  0.12 | Traded; $15 salar...
Evan McPherson         | K     | 17.00 |  4.50 | Waivers; $3 bid     
Cincinnati             | DEF   |  1.00 |  0.29 | Waivers; $6 bid     


Mangina’s Revenge
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
-----------------------|-------|-------|-------|---------------------
Josh Allen             | QB    | 14.58 |  0.50 | Kept for $30        
Amari Cooper           | WR    | 27.30 |  1.09 | Drafted for $25     
George Pickens         | WR    | 16.30 |  1.33 | Drafted for $12     
Garrett Wilson         | WR    |  2.20 |  1.60 | Drafted for $1      
David Montgomery       | RB    | 19.60 |  0.42 | Drafted for $48     
Ezekiel Elliott        | RB    | 17.20 |  0.36 | Drafted for $49     
Kyle Pitts             | TE    |  5.80 |  0.15 | Kept for $45        
Mike Williams          | W/R/T |  2.00 |  0.06 | Drafted for $48     
Raheem Mostert         | BN    |  0.00 |  0.14 | Drafted for $6      
Darren Waller          | BN    |  0.00 |  0.17 | Waivers; $5 bid     
Keaontay Ingram        | BN    |  1.90 |  2.90 | Waivers; free agent 
James Cook             | BN    |  8.60 |  9.60 | Waivers; free agent 
Samaje Perine          | BN    | 28.20 | 29.20 | Waivers; free agent 
Mike Gesicki           | BN    |  0.00 |  1.00 | Waivers; free agent 
Joey Slye              | K     | 12.00 | 13.00 | Waivers; $0 bid     
Dallas                 | DEF   | 16.00 | 17.00 | Waivers; $0 bid     


Pop Hock & Drop It
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
-----------------------|-------|-------|-------|---------------------
Jalen Hurts            | QB    | 26.20 |  0.76 | Drafted for $35     
A.J. Brown             | WR    |  6.50 |  0.27 | Kept for $27        
Christian Watson       | WR    | 19.10 | 20.10 | Waivers; free agent 
DJ Moore               | WR    |  3.90 |  0.08 | Drafted for $58     
Alvin Kamara           | RB    | 10.90 |  0.24 | Kept for $49        
Dameon Pierce          | RB    |  2.70 |  0.09 | Drafted for $42     
T.J. Hockenson         | TE    |  5.90 |  0.38 | Drafted for $17     
Davante Adams          | W/R/T | 29.60 |  0.38 | Drafted for $80     
Kenneth Walker III     | BN    |  0.00 |  0.05 | Drafted for $20     
Javonte Williams       | BN    |  0.00 |  0.03 | Kept for $30        
Odell Beckham Jr.      | BN    |  0.00 |  1.00 | Waivers; free agent 
Trey McBride           | BN    |  3.40 |  4.40 | Waivers; free agent 
Julio Jones            | BN    |  0.00 |  1.00 | Waivers; free agent 
Tyler Bass             | K     | 23.00 | 24.00 | Waivers; free agent 
New Orleans            | DEF   |  5.00 |  6.00 | Waivers; free agent 
Minnesota              | BN    | -4.00 | -3.00 | Waivers; free agent 


Forgot About Dre
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
-----------------------|-------|-------|-------|---------------------
Daniel Jones           | QB    | 28.64 | 29.64 | Waivers; free agent 
Gabe Davis             | WR    |  9.30 |  1.72 | Kept for $5         
Parris Campbell        | WR    |  9.20 |  2.04 | Waivers; $4 bid     
Marquez Valdes-Scan... | WR    |  2.30 |  3.30 | Waivers; free agent 
Kareem Hunt            | RB    |  6.40 |  0.49 | Traded; $14 salar...
Rhamondre Stevenson    | RB    | 11.20 |  2.03 | Kept for $5         
Cole Kmet              | TE    |  5.00 |  1.00 | Traded; $5 salary...
Najee Harris           | W/R/T | 25.60 |  0.25 | Drafted for $104    
Dallas Goedert         | BN    |  0.00 |  0.04 | Drafted for $25     
Jeff Wilson Jr.        | BN    |  0.00 |  0.25 | Drafted for $3      
Tyler Lockett          | BN    |  0.00 |  0.08 | Drafted for $11     
Tyreek Hill            | BN    |  0.00 |  0.01 | Drafted for $77     
Tua Tagovailoa         | BN    |  0.00 |  1.00 | Waivers; $0 bid     
J.K. Dobbins           | BN    |  0.00 |  0.14 | Waivers; $6 bid     
Nick Folk              | K     |  4.00 |  1.67 | Waivers; $2 bid     
Philadelphia           | DEF   |  7.00 |  8.00 | Waivers; $0 bid     


************** All players **************
RANK | NAME                   | POS   | PTS   | COST | RATIO | ACQUISITION          | TEAM                            
-----|------------------------|-------|-------|------|-------|----------------------|---------------------------------
1    | Jimmy Garoppolo        | QB    | 33.42 | 0    | 34.42 | Waivers; $0 bid      | Nags                            
2    | Daniel Jones           | QB    | 28.64 | 0    | 29.64 | Waivers; free agent  | Forgot About Dre                
3    | Samaje Perine          | BN    | 28.20 | 0    | 29.20 | Waivers; free agent  | Mangina’s Revenge               
4    | Joshua Palmer          | WR    | 26.60 | 0    | 27.60 | Waivers; free agent  | Ceedeez Nutz                    
5    | Dak Prescott           | QB    | 24.64 | 0    | 25.64 | Waivers; free agent  | JamoSZN                         
6    | Tyler Bass             | K     | 23.00 | 0    | 24.00 | Waivers; free agent  | Pop Hock & Drop It              
7    | Brett Maher            | K     | 22.00 | 0    | 23.00 | Waivers; $0 bid      | Burks and Caicos                
8    | Christian Watson       | WR    | 19.10 | 0    | 20.10 | Waivers; free agent  | Pop Hock & Drop It              
9    | Washington             | DEF   | 19.00 | 0    | 20.00 | Waivers; $0 bid      | JamoSZN                         
10   | Dallas                 | DEF   | 16.00 | 0    | 17.00 | Waivers; $0 bid      | Mangina’s Revenge               
11   | Donovan Peoples-Jones  | WR    | 14.60 | 0    | 15.60 | Waivers; free agent  | Derrick Yeti SZN                
12   | Joey Slye              | K     | 12.00 | 0    | 13.00 | Waivers; $0 bid      | Mangina’s Revenge               
13   | Aaron Rodgers          | QB    | 23.08 | 1    | 12.04 | Waivers; $1 bid      | Aiyuken                         
14   | Jarvis Landry          | BN    | 10.80 | 0    | 11.80 | Waivers; free agent  | Derrick Yeti SZN                
15   | Russell Wilson         | QB    | 10.68 | 0    | 11.68 | Waivers; free agent  | Matt’s “Bye Week”               
16   | Dawson Knox            | TE    | 10.50 | 0    | 11.50 | Waivers; $0 bid      | Burks and Caicos                
17   | Matt Gay               | K     | 10.00 | 0    | 11.00 | Waivers; free agent  | Nags                            
18   | New York               | DEF   | 10.00 | 0    | 11.00 | Waivers; free agent  | Ceedeez Nutz                    
19   | Melvin Gordon III      | BN    |  9.50 | 0    | 10.50 | Waivers; $0 bid      | JamoSZN                         
20   | Kansas City            | BN    |  9.00 | 0    | 10.00 | Waivers; free agent  | Nags                            
21   | James Cook             | BN    |  8.60 | 0    |  9.60 | Waivers; free agent  | Mangina’s Revenge               
22   | Robbie Gould           | K     |  8.00 | 0    |  9.00 | Waivers; free agent  | Ceedeez Nutz                    
23   | Baltimore              | DEF   | 17.00 | 1    |  9.00 | Drafted for $1       | Nags                            
24   | Nico Collins           | BN    |  7.30 | 0    |  8.30 | Waivers; $0 bid      | Aiyuken                         
25   | Philadelphia           | DEF   |  7.00 | 0    |  8.00 | Waivers; $0 bid      | Forgot About Dre                
26   | Tyler Allgeier         | BN    |  6.90 | 0    |  7.90 | Traded; $0 salary... | Matt’s “Bye Week”               
27   | Michael Gallup         | W/R/T |  5.60 | 0    |  6.60 | Waivers; free agent  | Cooper Troopers                 
28   | Van Jefferson          | WR    |  5.60 | 0    |  6.60 | Waivers; free agent  | Cooper Troopers                 
29   | Jake Elliott           | K     |  5.00 | 0    |  6.00 | Waivers; free agent  | JamoSZN                         
30   | New Orleans            | DEF   |  5.00 | 0    |  6.00 | Waivers; free agent  | Pop Hock & Drop It              
31   | Isiah Pacheco          | W/R/T | 10.70 | 1    |  5.85 | Waivers; $1 bid      | Aiyuken                         
32   | Damien Harris          | BN    | 10.30 | 1    |  5.65 | Waivers; $1 bid      | Burks and Caicos                
33   | Los Angeles            | DEF   |  4.00 | 0    |  5.00 | Waivers; free agent  | Aiyuken                         
34   | Mack Hollins           | WR    |  8.20 | 1    |  4.60 | Waivers; $1 bid      | Ceedeez Nutz                    
35   | New England            | DEF   | 17.00 | 3    |  4.50 | Waivers; $3 bid      | Matt’s “Bye Week”               
36   | Evan McPherson         | K     | 17.00 | 3    |  4.50 | Waivers; $3 bid      | Derrick Yeti SZN                
37   | Trey McBride           | BN    |  3.40 | 0    |  4.40 | Waivers; free agent  | Pop Hock & Drop It              
38   | Juwan Johnson          | BN    | 12.20 | 2    |  4.40 | Waivers; $2 bid      | G                               
39   | Younghoe Koo           | K     | 12.00 | 2    |  4.33 | Waivers; $2 bid      | Cooper Troopers                 
40   | Justin Fields          | QB    | 25.62 | 6    |  3.80 | Waivers; $6 bid      | Derrick Yeti SZN                
41   | Elijah Moore           | BN    |  2.70 | 0    |  3.70 | Waivers; free agent  | G                               
42   | D'Onta Foreman         | BN    |  2.40 | 0    |  3.40 | Waivers; free agent  | Burks and Caicos                
43   | Marquez Valdes-Scan... | WR    |  2.30 | 0    |  3.30 | Waivers; free agent  | Forgot About Dre                
44   | Chase Claypool         | W/R/T |  2.10 | 0    |  3.10 | Waivers; free agent  | Derrick Yeti SZN                
45   | San Francisco          | DEF   | 11.00 | 3    |  3.00 | Drafted for $3       | G                               
46   | Keaontay Ingram        | BN    |  1.90 | 0    |  2.90 | Waivers; free agent  | Mangina’s Revenge               
47   | Jamaal Williams        | RB    | 24.40 | 9    |  2.54 | Traded; $9 salary... | Aiyuken                         
48   | Tennessee              | BN    |  4.00 | 1    |  2.50 | Waivers; $1 bid      | Matt’s “Bye Week”               
49   | Jaylen Warren          | W/R/T |  1.40 | 0    |  2.40 | Waivers; free agent  | JamoSZN                         
50   | Chuba Hubbard          | BN    |  3.50 | 1    |  2.25 | Waivers; $1 bid      | Ceedeez Nutz                    
51   | Pat Freiermuth         | TE    | 11.90 | 5    |  2.15 | Drafted for $5       | Aiyuken                         
52   | Tyler Boyd             | WR    |  5.20 | 2    |  2.07 | Drafted for $2       | Cooper Troopers                 
53   | Parris Campbell        | WR    |  9.20 | 4    |  2.04 | Waivers; $4 bid      | Forgot About Dre                
