,pick,player_name,player_position,player_team,salary,manager,keeper_code,keeper_years,2022_cost
100,165,Leonard Fournette,RB,TB,0,Joel,,0,5
101,177,Tyler Bass,K,Buf,0,Joel,,0,5
102,93,Brandin Cooks,WR,Hou,11,Joel,,0,16
103,104,Deebo Samuel,WR,SF,13,Joel,,0,18
104,34,Aaron Rodgers,QB,GB,15,Joel,E,1,22
105,81,Tee Higgins,WR,Cin,28,Joel,,0,33
106,78,Diontae Johnson,WR,Pit,37,Joel,,0,42
107,68,D'Andre Swift,RB,Det,43,Joel,,0,48
108,31,David Montgomery,RB,Chi,54,Joel,DE,2,63
109,0,Ronald Jones II,RB,TB,14,Joel,,0,19
110,79,Dallas,DEF,Dal,4,Joel,,0,9
111,130,Sony Michel,RB,LAR,8,Joel,,0,13
112,4,Zack Moss,RB,Buf,0,Matt,,0,5
113,12,Mike Gesicki,TE,Mia,0,Matt,,0,5
114,80,Raheem Mostert,RB,SF,0,Matt,,0,5
115,99,Tim Patrick,WR,Den,0,Matt,,0,5
116,102,Dalton Schultz,TE,Dal,0,Matt,,0,5
117,108,Cincinnati,DEF,Cin,0,Matt,,0,5
118,109,Travis Etienne,RB,Jax,0,Matt,,0,5
119,120,Jordan Howard,RB,Phi,0,Matt,,0,5
120,150,Michael Badgley,K,Ind,0,Matt,,0,5
121,190,Brandon Aiyuk,WR,SF,0,Matt,,0,5
122,3,Odell Beckham Jr.,WR,CLE,5,Matt,E,1,12
123,107,Matthew Stafford,QB,LAR,10,Matt,,0,15
124,1,Aaron Jones,RB,GB,27,Matt,BCDE,4,40
125,2,Jonathan Taylor,RB,IND,64,Matt,E,1,71
126,56,Tyreek Hill,WR,KC,90,Matt,,0,95
127,0,New England,DEF,NE,5,Matt,,0,10
128,95,Matt Ryan,QB,Atl,0,Rajiv,,0,5
129,113,Los Angeles,DEF,LAC,0,Rajiv,,0,5
130,143,Nyheim Hines,RB,Ind,0,Rajiv,,0,5
131,166,Younghoe Koo,K,Atl,0,Rajiv,,0,5
132,187,Hunter Henry,TE,NE,0,Rajiv,,0,5
133,0,Noah Fant,TE,Den,0,Rajiv,,0,5
134,0,Tre'Quan Smith,WR,NO,0,Rajiv,,0,5
135,179,Devin Singletary,RB,Buf,1,Rajiv,,0,6
136,171,Marquise Brown,WR,Bal,2,Rajiv,,0,7
137,184,Hunter Renfrow,WR,LV,6,Rajiv,,0,11
138,22,Terry McLaurin,WR,WAS,49,Rajiv,E,1,56
139,69,Adam Thielen,WR,Min,49,Rajiv,,0,54
140,21,Derrick Henry,RB,TEN,56,Rajiv,DE,2,65
141,48,Saquon Barkley,RB,NYG,79,Rajiv,,0,84
142,105,Kenneth Gainwell,RB,Phi,23,Rajiv,,0,28
143,70,Christian McCaffrey,RB,Car,65,Rajiv,,0,70
144,20,Green Bay,DEF,GB,0,Ron,,0,5
145,53,Trey Lance,QB,SF,0,Ron,,0,5
146,60,Josh Gordon,WR,KC,0,Ron,,0,5
147,110,K.J. Osborn,WR,Min,0,Ron,,0,5
148,123,Joe Burrow,QB,Cin,0,Ron,,0,5
149,135,Cordarrelle Patterson,"WR,RB",Atl,0,Ron,,0,5
150,158,Chicago,DEF,Chi,0,Ron,,0,5
151,172,Dawson Knox,TE,Buf,4,Ron,,0,9
152,17,DK Metcalf,WR,SEA,12,Ron,DE,2,21
153,111,Dallas Goedert,TE,Phi,13,Ron,,0,18
154,50,Chase Edmonds,RB,Ari,19,Ron,,0,24
155,63,Ja'Marr Chase,WR,Cin,19,Ron,,0,24
156,18,Austin Ekeler,RB,SD,22,Ron,DE,2,31
157,103,Courtland Sutton,WR,Den,23,Ron,,0,28
158,115,Eli Mitchell,RB,SF,43,Ron,,0,48
159,0,Nick Folk,K,NE,1,Ron,,0,6
160,114,Daniel Carlson,K,LV,0,Ryan,,0,5
161,173,J.K. Dobbins,RB,Bal,0,Ryan,,0,5
162,175,Rob Gronkowski,TE,TB,1,Ryan,,0,6
163,174,Tony Pollard,RB,Dal,2,Ryan,,0,7
164,176,Jamaal Williams,RB,Det,2,Ryan,,0,7
165,124,Tampa Bay,DEF,TB,4,Ryan,,0,9
166,37,Chase Claypool,WR,PIT,5,Ryan,E,1,12
167,118,Laviska Shenault Jr.,WR,Jax,10,Ryan,,0,15
168,88,Tom Brady,QB,TB,13,Ryan,,0,18
169,36,Nick Chubb,RB,CLE,24,Ryan,CDE,3,35
170,181,Michael Pittman Jr.,WR,Ind,26,Ryan,,0,31
171,35,Travis Kelce,TE,KC,73,Ryan,CDE,3,84
172,52,Dalvin Cook,RB,Min,111,Ryan,,0,116
173,55,Van Jefferson Jr.,WR,LAR,11,Ryan,,0,16
174,161,Carson Wentz,QB,Ind,11,Ryan,,0,16
175,38,Russell Wilson,QB,Sea,2,Ryan,,0,7
176,142,Seattle,DEF,Sea,0,Sean,,0,5
177,164,Elijah Moore,WR,NYJ,0,Sean,,0,5
178,167,Zach Ertz,TE,Ari,0,Sean,,0,5
179,178,Evan McPherson,K,Cin,0,Sean,,0,5
180,188,T.J. Hockenson,TE,Det,0,Sean,,0,5
181,189,Cam Akers,RB,LAR,0,Sean,,0,5
182,16,Dak Prescott,QB,DAL,5,Sean,E,1,12
183,154,Jaylen Waddle,WR,Mia,5,Sean,,0,10
184,90,Mike Williams,WR,LAC,13,Sean,,0,18
185,14,AJ Brown,WR,TEN,18,Sean,DE,2,27
186,94,Javonte Williams,RB,Den,25,Sean,,0,30
187,13,Alvin Kamara,RB,NO,36,Sean,BCDE,4,49
188,54,Amari Cooper,WR,Dal,41,Sean,,0,46
189,19,Stefon Diggs,WR,Buf,46,Sean,E,1,53
190,58,Clyde Edwards-Helaire,RB,KC,68,Sean,,0,73
191,183,Michael Thomas,WR,NO,2,Sean,,0,7
